Fertilization Mode,Males Identified,Probability of N males contributing given a sample size of 32,,,,Probability of N males contributing given a sample size of 96,,,
,,N = 2,N = 3,N = 4,N = 5,N = 2,N = 3,N = 4,N = 5
Random,1,0,0,0,0,0,0,0,0
,2,1,0,0,0,1,0,0,0
,3,-,1,0,0,-,1,0,0
,4,-,-,0.996,0.004,-,-,1,0
Exponential,1,0,0,0,0,0,0,0,0
,2,1,0,0,0,1,0,0,0
,3,-,0.958,0.027,0.016,-,1,0,0
,4,-,-,0.805,0.195,-,-,0.99,0.01
Dominant 50,1,0,0,0,0,0,0,0,0
,2,1,0,0,0,1,0,0,0
,3,-,0.99,0.009,0.001,-,1,0,0
,4,-,-,0.948,0.052,-,-,1,0
Dominant 70,1,0,0,0,0,0,0,0,0
,2,0.986,0.011,0.002,0.001,1,0,0,0
,3,-,0.885,0.088,0.026,-,0.998,0.001,0
,4,-,-,0.77,0.23,-,-,0.992,0.008
Dominant 90,1,0.249,0.25,0.25,0.25,0.263,0.263,0.211,0.263
,2,0.566,0.187,0.133,0.113,0.958,0.026,0.01,0.007
,3,-,0.436,0.309,0.255,-,0.828,0.121,0.051
,4,-,-,0.478,0.522,-,-,0.736,0.264
Mixed Dominant,1,0.251,0.248,0.253,0.248,0.333,0.167,0.167,0.333
,2,0.797,0.089,0.062,0.052,0.986,0.009,0.003,0.002
,3,-,0.73,0.157,0.113,-,0.936,0.045,0.019
,4,-,-,0.775,0.225,-,-,0.901,0.099
