"","Fertilization_Mode","Sample_size","Males_identified","2","3","4","5"
"1","dominant50",32,1,0,0,0,0
"2","dominant50",32,2,1,0,0,0
"3","dominant50",32,3,NA,0.99,0.009,0.001
"4","dominant50",32,4,NA,NA,0.948,0.052
"5","dominant50",32,5,NA,NA,NA,1
"6","dominant50",96,1,0,0,0,0
"7","dominant50",96,2,1,0,0,0
"8","dominant50",96,3,NA,1,0,0
"9","dominant50",96,4,NA,NA,1,0
"10","dominant50",96,5,NA,NA,NA,1
"11","dominant70",32,1,0,0,0,0
"12","dominant70",32,2,0.986,0.011,0.002,0.001
"13","dominant70",32,3,NA,0.885,0.088,0.026
"14","dominant70",32,4,NA,NA,0.77,0.23
"15","dominant70",32,5,NA,NA,NA,1
"16","dominant70",96,1,0,0,0,0
"17","dominant70",96,2,1,0,0,0
"18","dominant70",96,3,NA,0.998,0.001,0
"19","dominant70",96,4,NA,NA,0.992,0.008
"20","dominant70",96,5,NA,NA,NA,1
"21","dominant90",32,1,0.249,0.25,0.25,0.25
"22","dominant90",32,2,0.566,0.187,0.133,0.113
"23","dominant90",32,3,NA,0.436,0.309,0.255
"24","dominant90",32,4,NA,NA,0.478,0.522
"25","dominant90",32,5,NA,NA,NA,1
"26","dominant90",96,1,0.263,0.263,0.211,0.263
"27","dominant90",96,2,0.958,0.026,0.01,0.007
"28","dominant90",96,3,NA,0.828,0.121,0.051
"29","dominant90",96,4,NA,NA,0.736,0.264
"30","dominant90",96,5,NA,NA,NA,1
"31","exponential",32,1,0,0,0,0
"32","exponential",32,2,1,0,0,0
"33","exponential",32,3,NA,0.958,0.027,0.016
"34","exponential",32,4,NA,NA,0.805,0.195
"35","exponential",32,5,NA,NA,NA,1
"36","exponential",96,1,0,0,0,0
"37","exponential",96,2,1,0,0,0
"38","exponential",96,3,NA,1,0,0
"39","exponential",96,4,NA,NA,0.99,0.01
"40","exponential",96,5,NA,NA,NA,1
"41","mixed_dominant",32,1,0.251,0.248,0.253,0.248
"42","mixed_dominant",32,2,0.797,0.089,0.062,0.052
"43","mixed_dominant",32,3,NA,0.73,0.157,0.113
"44","mixed_dominant",32,4,NA,NA,0.775,0.225
"45","mixed_dominant",32,5,NA,NA,NA,1
"46","mixed_dominant",96,1,0.333,0.167,0.167,0.333
"47","mixed_dominant",96,2,0.986,0.009,0.003,0.002
"48","mixed_dominant",96,3,NA,0.936,0.045,0.019
"49","mixed_dominant",96,4,NA,NA,0.901,0.099
"50","mixed_dominant",96,5,NA,NA,NA,1
"51","random",32,1,0,0,0,0
"52","random",32,2,1,0,0,0
"53","random",32,3,NA,1,0,0
"54","random",32,4,NA,NA,0.996,0.004
"55","random",32,5,NA,NA,NA,1
"56","random",96,1,0,0,0,0
"57","random",96,2,1,0,0,0
"58","random",96,3,NA,1,0,0
"59","random",96,4,NA,NA,1,0
"60","random",96,5,NA,NA,NA,1
